2571063,2018-11-09 08:36:59,0,30606,809420211063
2571063,2018-11-09 08:36:59,1,30506,316255281063
2571063,2018-11-09 08:37:23,0,30612,809420971063
2571063,2018-11-09 08:37:23,1,30512,316266571063
2571063,2018-11-09 08:37:35,0,30609,809422721063
2571063,2018-11-09 08:37:35,1,30509,386250521063
97491008,2018-11-09 08:43:28,0,30609,2314291851008
97491008,2018-11-09 08:43:28,1,30509,1985138101008
80031008,2018-11-09 08:48:05,0,30603,2314314821008
80031008,2018-11-09 08:48:05,1,30503,659999591008
80031008,2018-11-09 08:49:19,0,30613,2314320891008
80031008,2018-11-09 08:49:19,1,30513,776999251008
883721003,2018-11-09 08:53:45,0,30605,2704234621003
883721003,2018-11-09 08:53:45,1,30505,1958260201003
61541004,2018-11-09 08:54:20,0,30615,2438320901004
61541004,2018-11-09 08:54:20,1,30515,2423177631004
425991026,2018-11-09 08:54:57,0,30615,829175891026
425991026,2018-11-09 08:54:57,1,30515,320279151026
123261026,2018-11-09 08:57:55,0,30608,829183191026
123261026,2018-11-09 08:57:55,1,30508,679832851026
120531004,2018-11-09 09:03:19,0,30608,2438385171004
120531004,2018-11-09 09:03:19,1,30508,2388883721004
120531004,2018-11-09 09:06:31,0,30613,2438404961004
120531004,2018-11-09 09:06:31,1,30513,2400670951004
131451006,2018-11-09 09:06:44,0,30605,2355415091006
131451006,2018-11-09 09:06:44,1,30505,1821602941006
141001,2018-11-09 09:16:09,0,30605,3075538761001
141001,2018-11-09 09:16:09,1,30505,1138656941001
141001,2018-11-09 09:18:00,0,30608,3075561861001
141001,2018-11-09 09:18:00,1,30508,1138660291001
141001,2018-11-09 09:18:03,0,30610,3075562121001
141001,2018-11-09 09:18:03,1,30510,2654097541001
141001,2018-11-09 09:18:04,0,30613,3075562401001
141001,2018-11-09 09:18:04,1,30513,2916880201001
214981001,2018-11-09 09:36:38,0,30605,3075771291001
214981001,2018-11-09 09:36:38,1,30505,2088196771001
214981001,2018-11-09 09:36:42,0,30608,3075771621001
214981001,2018-11-09 09:36:42,1,30508,2131141691001
214981001,2018-11-09 09:36:44,0,30610,3075771751001
214981001,2018-11-09 09:36:44,1,30510,2657248811001
214981001,2018-11-09 09:36:46,0,30613,3075772021001
214981001,2018-11-09 09:36:46,1,30513,657520891001
795681026,2018-11-09 09:38:41,0,30609,829253291026
795681026,2018-11-09 09:38:41,1,30509,823993131026
605381029,2018-11-09 09:40:34,0,30604,965244781029
605381029,2018-11-09 09:40:34,1,30504,304080061029
22261020,2018-11-09 09:53:17,0,30609,1224603671020
22261020,2018-11-09 09:53:17,1,30509,1153709481020
918011003,2018-11-09 09:57:04,0,30610,2704692271003
918011003,2018-11-09 09:57:04,1,30510,2676279471003
158011009,2018-11-09 09:58:40,0,30611,1976445091009
158011009,2018-11-09 09:58:40,1,30511,1466331881009
1082341027,2018-11-09 10:06:04,0,30604,1016446551027
1082341027,2018-11-09 10:06:04,1,30504,689519441027
24531013,2018-11-09 10:32:42,0,30601,1721353501013
24531013,2018-11-09 10:32:42,1,30501,1695390761013
24531013,2018-11-09 10:33:28,0,30606,1721356861013
24531013,2018-11-09 10:33:28,1,30506,1701396111013
24531013,2018-11-09 10:33:45,0,30609,1721357801013
24531013,2018-11-09 10:33:45,1,30509,1720877361013
